,Total Number Of Transactions,Total Items Count,Total Sales Amount,Coupons outside of orders,Coupons - Highest Number Of Uses Of Promotion Code,Coupons - Percentage Of Total Amount,Coupons Total Amount,Coupons Count,Coupons Average Amount,Coupons - Percentage Of All Transactions,Refunds Trx Count,Refunds Item Count,Refunds Total Amount,Department Refunds Percentage Of Total Amount,Department Refunds Total Amount,Department Refunds Percentage Of Items,Department Refunds Item Count,Item Voids Item Count,Item Voids Total Amount Voided,Department Sales Percentage Of All Items,Department Sales Item Count,Department Sales Total Amount,Zero Trx Percentage,Zero Count,Zero Trx With Alcohol,Payment Card Relationship Max No Of Card Uses,No Sales Per Day,Base Avg Basket Size
Total Number Of Transactions,1.0,0.654649988823,0.619358314298,0.172655638883,0.0212880562518,-0.36042725058,0.123631334843,0.102092704589,-0.264311705491,-0.430670858711,-0.0784418928885,-0.0925283282192,-0.187322071158,-0.274655968817,-0.201733878402,-0.132140599273,-0.103646617189,0.386071782628,0.284640317326,0.0688071352592,0.423644629687,0.106623479175,-0.348487394935,-0.117510401157,-0.0190320807399,0.0808332407446,0.337851916279,-0.166350256546
Total Items Count,0.654649988823,1.0,0.980405949659,0.308692976298,-0.212550428464,-0.330924476278,0.177375279028,-0.0749376101871,0.250211030133,-0.381359310639,-0.0477777909481,-0.0712694780174,-0.0954798244699,-0.248777602797,-0.0896522965025,-0.122679561343,-0.11917884846,0.301643967376,0.1561342873,-0.235608571231,0.293187666121,0.0805278644523,-0.301843834978,-0.118672894529,-0.19516300414,0.0123228795379,0.151725212814,0.574888166318
Total Sales Amount,0.619358314298,0.980405949659,1.0,0.381660756414,-0.231196480421,-0.311442014936,0.18006066537,-0.0886151907753,0.285937231348,-0.364327731904,-0.0842353916174,-0.106187671838,-0.120316814054,-0.236480765614,-0.0788508201329,-0.132191901708,-0.134360790493,0.303792033014,0.19974350511,-0.250979581678,0.271099785088,0.115080370298,-0.286740597027,-0.141654334414,-0.19873956182,-0.0151540558002,0.163077006584,0.578493743454
Coupons outside of orders,0.172655638883,0.308692976298,0.381660756414,1.0,-0.184455697872,-0.147169650614,0.0007009138496,-0.121127714941,0.124929891182,-0.195384754502,-0.269784782083,-0.285578783054,-0.181555938944,-0.134948934164,-0.192459088895,-0.287451210534,-0.308665612724,0.0604142724339,0.202644253318,-0.303803660529,-0.111984203958,0.112854086667,-0.132876554433,-0.0922427516525,-0.183550300006,-0.251069197469,0.121130687947,0.209948179229
Coupons - Highest Number Of Uses Of Promotion Code,0.0212880562518,-0.212550428464,-0.231196480421,-0.184455697872,1.0,0.0591098499777,0.821726718746,0.978124675241,-0.424537033863,0.610415623375,-0.147371698159,-0.145184904141,-0.0999843300656,-0.0639206268621,-0.123901767248,-0.10256369629,-0.138545342746,-0.243863526413,-0.194591365046,-0.0371279047409,-0.129611389291,-0.126090893413,-0.077493840875,-0.0537358894597,-0.0956465220321,-0.159640564546,0.099865293182,-0.213719400293
Coupons - Percentage Of Total Amount,-0.36042725058,-0.330924476278,-0.311442014936,-0.147169650614,0.0591098499777,1.0,-0.0323294267113,0.0235363494414,0.427467007471,0.458303218735,-0.149053532896,-0.154211492842,-0.0771113376674,-0.00873117644369,-0.0544895281514,-0.109994216154,-0.0899320033947,-0.325684876873,-0.216765714518,-0.193452434954,-0.221934411969,-0.113436220739,0.967075000814,-0.0801483107024,-0.0393837513588,-0.137418558294,-0.100360286994,-0.32204046371
Coupons Total Amount,0.123631334843,0.177375279028,0.18006066537,0.0007009138496,0.821726718746,-0.0323294267113,1.0,0.906778276696,-0.0571517736496,0.502090347677,-0.261994380021,-0.263998836499,-0.18363008001,-0.113615035529,-0.0772847675172,-0.150917566433,-0.226026802032,-0.220096911618,-0.22037707477,-0.183159498064,-0.0990706940653,-0.106982240857,-0.171606338409,-0.183089573365,-0.207008228501,-0.116073489032,0.195214949603,0.149614825954
Coupons Count,0.102092704589,-0.0749376101871,-0.0886151907753,-0.121127714941,0.978124675241,0.0235363494414,0.906778276696,1.0,-0.357646869921,0.570101768644,-0.182367312093,-0.18519978115,-0.129647671803,-0.0863067682219,-0.128104290747,-0.140031465053,-0.177304441024,-0.239025976151,-0.204182334083,-0.0812286126516,-0.11778456038,-0.122374189116,-0.114061203284,-0.0898196559674,-0.121505385934,-0.148399103306,0.16204796086,-0.133698513255
Coupons Average Amount,-0.264311705491,0.250211030133,0.285937231348,0.124929891182,-0.424537033863,0.427467007471,-0.0571517736496,-0.357646869921,1.0,-0.0196240793866,-0.0925641448769,-0.102796250592,0.000744055215673,0.0109135750914,0.105848439365,0.0421966793501,-0.0593842440859,-0.144883786734,-0.13069347856,-0.256902123638,-0.0515957884672,-0.0188896095188,0.46266227946,-0.106669487274,-0.227360668973,-0.00578326440682,-0.11169438702,0.449897457077
Coupons - Percentage Of All Transactions,-0.430670858711,-0.381359310639,-0.364327731904,-0.195384754502,0.610415623375,0.458303218735,0.502090347677,0.570101768644,-0.0196240793866,1.0,-0.240243126212,-0.257623901978,-0.139402830601,0.029257152273,-0.0470466324333,-0.0699127779543,-0.1253504971,-0.428081300656,-0.300368624233,-0.126779981691,-0.2945672297,-0.171948527493,0.289093911271,-0.158609703131,-0.0967406923024,-0.187131607442,-0.0351623337838,-0.0763631401973
Refunds Trx Count,-0.0784418928885,-0.0477777909481,-0.0842353916174,-0.269784782083,-0.147371698159,-0.149053532896,-0.261994380021,-0.182367312093,-0.0925641448769,-0.240243126212,1.0,0.968664822878,0.908594225148,0.1657926427,0.237357087241,0.0609051476557,0.288121414669,0.0183494724619,-0.0542354726234,0.013632213995,-0.0244718169593,-0.00867084928938,0.0368371164662,0.784402273629,0.128644376305,-0.0311957283228,-0.156665306207,0.127176212314
Refunds Item Count,-0.0925283282192,-0.0712694780174,-0.106187671838,-0.285578783054,-0.145184904141,-0.154211492842,-0.263998836499,-0.18519978115,-0.102796250592,-0.257623901978,0.968664822878,1.0,0.877741929916,0.122923130722,0.200576732314,0.0176815594268,0.264547601138,0.0247528854729,-0.0739302894201,0.00609748504645,-0.0313091411856,-0.0319440054,0.0270297374643,0.760065115461,0.114504804191,-0.0191468134416,-0.132964385447,0.111849504618
Refunds Total Amount,-0.187322071158,-0.0954798244699,-0.120316814054,-0.181555938944,-0.0999843300656,-0.0771113376674,-0.18363008001,-0.129647671803,0.000744055215673,-0.139402830601,0.908594225148,0.877741929916,1.0,0.0224632910936,0.0434685065377,-0.121803784988,0.000622067672513,-0.0575690015042,-0.0811513481788,-0.0751181088708,-0.112466800756,-0.0401704973453,0.115490094086,0.878383220073,0.101250227469,-0.0564066926746,-0.123874993989,0.195432305739
Department Refunds Percentage Of Total Amount,-0.274655968817,-0.248777602797,-0.236480765614,-0.134948934164,-0.0639206268621,-0.00873117644369,-0.113615035529,-0.0863067682219,0.0109135750914,0.029257152273,0.1657926427,0.122923130722,0.0224632910936,1.0,0.662715054591,0.460654598096,0.634099514282,-0.239086769361,-0.163836980513,0.187700833271,-0.132178918133,-0.0597133921987,-0.0181359824902,-0.0740939307313,-0.0316275616265,-0.0147032909706,-0.0831710026438,-0.0847123899517
Department Refunds Total Amount,-0.201733878402,-0.0896522965025,-0.0788508201329,-0.192459088895,-0.123901767248,-0.0544895281514,-0.0772847675172,-0.128104290747,0.105848439365,-0.0470466324333,0.237357087241,0.200576732314,0.0434685065377,0.662715054591,1.0,0.594931211151,0.751204017317,-0.180237600115,-0.143821842096,0.13197390174,-0.00563468822543,0.104119644237,-0.0642222682556,-0.16005049742,-0.0848422528381,0.153553543835,-0.155969820794,0.0897356927182
Department Refunds Percentage Of Items,-0.132140599273,-0.122679561343,-0.132191901708,-0.287451210534,-0.10256369629,-0.109994216154,-0.150917566433,-0.140031465053,0.0421966793501,-0.0699127779543,0.0609051476557,0.0176815594268,-0.121803784988,0.460654598096,0.594931211151,1.0,0.852046747502,-0.136513952424,-0.117971209622,0.258661447951,0.137784208206,-0.0304493995297,-0.136368634785,-0.252351564513,-0.161671343267,-0.0579575143869,-0.106723914831,-0.023506206039
Department Refunds Item Count,-0.103646617189,-0.11917884846,-0.134360790493,-0.308665612724,-0.138545342746,-0.0899320033947,-0.226026802032,-0.177304441024,-0.0593842440859,-0.1253504971,0.288121414669,0.264547601138,0.000622067672513,0.634099514282,0.751204017317,0.852046747502,1.0,-0.148187087476,-0.118226521118,0.220795677074,0.0685594278884,-0.00626682067755,-0.0926137609912,-0.162506740015,-0.102810672074,-0.0611146778319,-0.142417240283,-0.0746413717547
Item Voids Item Count,0.386071782628,0.301643967376,0.303792033014,0.0604142724339,-0.243863526413,-0.325684876873,-0.220096911618,-0.239025976151,-0.144883786734,-0.428081300656,0.0183494724619,0.0247528854729,-0.0575690015042,-0.239086769361,-0.180237600115,-0.136513952424,-0.148187087476,1.0,0.594447720339,0.105930501589,0.257988708669,0.155215673303,-0.269227415405,0.13704998173,0.191766229649,0.139116715553,-0.0298906278279,0.0303965668461
Item Voids Total Amount Voided,0.284640317326,0.1561342873,0.19974350511,0.202644253318,-0.194591365046,-0.216765714518,-0.22037707477,-0.204182334083,-0.13069347856,-0.300368624233,-0.0542354726234,-0.0739302894201,-0.0811513481788,-0.163836980513,-0.143821842096,-0.117971209622,-0.118226521118,0.594447720339,1.0,0.183376257905,0.299932135741,0.676900365469,-0.184966478284,0.00905368648495,0.00468996551745,-0.0111268779269,-0.0700588795781,-0.0716155937419
Department Sales Percentage Of All Items,0.0688071352592,-0.235608571231,-0.250979581678,-0.303803660529,-0.0371279047409,-0.193452434954,-0.183159498064,-0.0812286126516,-0.256902123638,-0.126779981691,0.013632213995,0.00609748504645,-0.0751181088708,0.187700833271,0.13197390174,0.258661447951,0.220795677074,0.105930501589,0.183376257905,1.0,0.792704429511,0.258361507798,-0.202033558482,-0.0889769828426,0.187409284089,0.189106975513,-0.063648032942,-0.313077888824
Department Sales Item Count,0.423644629687,0.293187666121,0.271099785088,-0.111984203958,-0.129611389291,-0.221934411969,-0.0990706940653,-0.11778456038,-0.0515957884672,-0.2945672297,-0.0244718169593,-0.0313091411856,-0.112466800756,-0.132178918133,-0.00563468822543,0.137784208206,0.0685594278884,0.257988708669,0.299932135741,0.792704429511,1.0,0.333088051003,-0.210767483647,-0.143040097599,-0.0246372000692,0.0983646485014,-0.0449981302998,-0.0274283024643
Department Sales Total Amount,0.106623479175,0.0805278644523,0.115080370298,0.112854086667,-0.126090893413,-0.113436220739,-0.106982240857,-0.122374189116,-0.0188896095188,-0.171948527493,-0.00867084928938,-0.0319440054,-0.0401704973453,-0.0597133921987,0.104119644237,-0.0304493995297,-0.00626682067755,0.155215673303,0.676900365469,0.258361507798,0.333088051003,1.0,-0.104857247791,-0.101179091422,-0.0646197276915,0.0734761696865,-0.199669584731,0.0272404935857
Zero Trx Percentage,-0.348487394935,-0.301843834978,-0.286740597027,-0.132876554433,-0.077493840875,0.967075000814,-0.171606338409,-0.114061203284,0.46266227946,0.289093911271,0.0368371164662,0.0270297374643,0.115490094086,-0.0181359824902,-0.0642222682556,-0.136368634785,-0.0926137609912,-0.269227415405,-0.184966478284,-0.202033558482,-0.210767483647,-0.104857247791,1.0,0.117988828435,0.00236760999525,-0.124486904272,-0.126349960711,-0.285498232086
Zero Count,-0.117510401157,-0.118672894529,-0.141654334414,-0.0922427516525,-0.0537358894597,-0.0801483107024,-0.183089573365,-0.0898196559674,-0.106669487274,-0.158609703131,0.784402273629,0.760065115461,0.878383220073,-0.0740939307313,-0.16005049742,-0.252351564513,-0.162506740015,0.13704998173,0.00905368648495,-0.0889769828426,-0.143040097599,-0.101179091422,0.117988828435,1.0,0.241527205987,-0.0396724685608,-0.0979792210922,0.0807752346957
Zero Trx With Alcohol,-0.0190320807399,-0.19516300414,-0.19873956182,-0.183550300006,-0.0956465220321,-0.0393837513588,-0.207008228501,-0.121505385934,-0.227360668973,-0.0967406923024,0.128644376305,0.114504804191,0.101250227469,-0.0316275616265,-0.0848422528381,-0.161671343267,-0.102810672074,0.191766229649,0.00468996551745,0.187409284089,-0.0246372000692,-0.0646197276915,0.00236760999525,0.241527205987,1.0,0.431093650259,0.109459785313,-0.225501761231
Payment Card Relationship Max No Of Card Uses,0.0808332407446,0.0123228795379,-0.0151540558002,-0.251069197469,-0.159640564546,-0.137418558294,-0.116073489032,-0.148399103306,-0.00578326440682,-0.187131607442,-0.0311957283228,-0.0191468134416,-0.0564066926746,-0.0147032909706,0.153553543835,-0.0579575143869,-0.0611146778319,0.139116715553,-0.0111268779269,0.189106975513,0.0983646485014,0.0734761696865,-0.124486904272,-0.0396724685608,0.431093650259,1.0,-0.020261708883,-0.0497475512258
No Sales Per Day,0.337851916279,0.151725212814,0.163077006584,0.121130687947,0.099865293182,-0.100360286994,0.195214949603,0.16204796086,-0.11169438702,-0.0351623337838,-0.156665306207,-0.132964385447,-0.123874993989,-0.0831710026438,-0.155969820794,-0.106723914831,-0.142417240283,-0.0298906278279,-0.0700588795781,-0.063648032942,-0.0449981302998,-0.199669584731,-0.126349960711,-0.0979792210922,0.109459785313,-0.020261708883,1.0,-0.164192136851
Base Avg Basket Size,-0.166350256546,0.574888166318,0.578493743454,0.209948179229,-0.213719400293,-0.32204046371,0.149614825954,-0.133698513255,0.449897457077,-0.0763631401973,0.127176212314,0.111849504618,0.195432305739,-0.0847123899517,0.0897356927182,-0.023506206039,-0.0746413717547,0.0303965668461,-0.0716155937419,-0.313077888824,-0.0274283024643,0.0272404935857,-0.285498232086,0.0807752346957,-0.225501761231,-0.0497475512258,-0.164192136851,1.0
